rank,team,record,week
1,ClemsonCLEM,13-0,1
2,AlabamaALA,12-1,1
3,Michigan StateMSU,12-1,1
4,OklahomaOKLA,11-1,1
5,IowaIOWA,12-1,1
6,StanfordSTAN,11-2,1
7,Ohio StateOSU,11-1,1
8,Notre DameND,10-2,1
9,Florida StateFSU,10-2,1
10,North CarolinaUNC,11-2,1
11,TCUTCU,10-2,1
12,Ole MissMISS,9-3,1
13,NorthwesternNW,10-2,1
14,MichiganMICH,9-3,1
15,OregonORE,9-3,1
16,Oklahoma StateOKST,10-2,1
17,BaylorBAY,9-3,1
18,HoustonHOU,12-1,1
19,FloridaFLA,10-3,1
20,LSULSU,8-3,1
21,NavyNAVY,9-2,1
22,UtahUTAH,9-3,1
23,TennesseeTENN,8-4,1
24,TempleTEM,10-3,1
25,USCUSC,8-5,1
1,ClemsonCLEM,13-0,2
2,AlabamaALA,12-1,2
3,Michigan StateMSU,12-1,2
4,OklahomaOKLA,11-1,2
5,IowaIOWA,12-1,2
6,StanfordSTAN,11-2,2
7,Ohio StateOSU,11-1,2
8,Notre DameND,10-2,2
9,Florida StateFSU,10-2,2
10,North CarolinaUNC,11-2,2
11,TCUTCU,10-2,2
12,Ole MissMISS,9-3,2
13,NorthwesternNW,10-2,2
14,MichiganMICH,9-3,2
15,OregonORE,9-3,2
16,Oklahoma StateOKST,10-2,2
17,BaylorBAY,9-3,2
18,HoustonHOU,12-1,2
19,FloridaFLA,10-3,2
20,LSULSU,8-3,2
21,NavyNAVY,9-2,2
22,UtahUTAH,9-3,2
23,TennesseeTENN,8-4,2
24,TempleTEM,10-3,2
25,USCUSC,8-5,2
1,ClemsonCLEM,13-0,3
2,AlabamaALA,12-1,3
3,Michigan StateMSU,12-1,3
4,OklahomaOKLA,11-1,3
5,IowaIOWA,12-1,3
6,StanfordSTAN,11-2,3
7,Ohio StateOSU,11-1,3
8,Notre DameND,10-2,3
9,Florida StateFSU,10-2,3
10,North CarolinaUNC,11-2,3
11,TCUTCU,10-2,3
12,Ole MissMISS,9-3,3
13,NorthwesternNW,10-2,3
14,MichiganMICH,9-3,3
15,OregonORE,9-3,3
16,Oklahoma StateOKST,10-2,3
17,BaylorBAY,9-3,3
18,HoustonHOU,12-1,3
19,FloridaFLA,10-3,3
20,LSULSU,8-3,3
21,NavyNAVY,9-2,3
22,UtahUTAH,9-3,3
23,TennesseeTENN,8-4,3
24,TempleTEM,10-3,3
25,USCUSC,8-5,3
1,ClemsonCLEM,13-0,4
2,AlabamaALA,12-1,4
3,Michigan StateMSU,12-1,4
4,OklahomaOKLA,11-1,4
5,IowaIOWA,12-1,4
6,StanfordSTAN,11-2,4
7,Ohio StateOSU,11-1,4
8,Notre DameND,10-2,4
9,Florida StateFSU,10-2,4
10,North CarolinaUNC,11-2,4
11,TCUTCU,10-2,4
12,Ole MissMISS,9-3,4
13,NorthwesternNW,10-2,4
14,MichiganMICH,9-3,4
15,OregonORE,9-3,4
16,Oklahoma StateOKST,10-2,4
17,BaylorBAY,9-3,4
18,HoustonHOU,12-1,4
19,FloridaFLA,10-3,4
20,LSULSU,8-3,4
21,NavyNAVY,9-2,4
22,UtahUTAH,9-3,4
23,TennesseeTENN,8-4,4
24,TempleTEM,10-3,4
25,USCUSC,8-5,4
1,ClemsonCLEM,13-0,5
2,AlabamaALA,12-1,5
3,Michigan StateMSU,12-1,5
4,OklahomaOKLA,11-1,5
5,IowaIOWA,12-1,5
6,StanfordSTAN,11-2,5
7,Ohio StateOSU,11-1,5
8,Notre DameND,10-2,5
9,Florida StateFSU,10-2,5
10,North CarolinaUNC,11-2,5
11,TCUTCU,10-2,5
12,Ole MissMISS,9-3,5
13,NorthwesternNW,10-2,5
14,MichiganMICH,9-3,5
15,OregonORE,9-3,5
16,Oklahoma StateOKST,10-2,5
17,BaylorBAY,9-3,5
18,HoustonHOU,12-1,5
19,FloridaFLA,10-3,5
20,LSULSU,8-3,5
21,NavyNAVY,9-2,5
22,UtahUTAH,9-3,5
23,TennesseeTENN,8-4,5
24,TempleTEM,10-3,5
25,USCUSC,8-5,5
1,ClemsonCLEM,13-0,6
2,AlabamaALA,12-1,6
3,Michigan StateMSU,12-1,6
4,OklahomaOKLA,11-1,6
5,IowaIOWA,12-1,6
6,StanfordSTAN,11-2,6
7,Ohio StateOSU,11-1,6
8,Notre DameND,10-2,6
9,Florida StateFSU,10-2,6
10,North CarolinaUNC,11-2,6
11,TCUTCU,10-2,6
12,Ole MissMISS,9-3,6
13,NorthwesternNW,10-2,6
14,MichiganMICH,9-3,6
15,OregonORE,9-3,6
16,Oklahoma StateOKST,10-2,6
17,BaylorBAY,9-3,6
18,HoustonHOU,12-1,6
19,FloridaFLA,10-3,6
20,LSULSU,8-3,6
21,NavyNAVY,9-2,6
22,UtahUTAH,9-3,6
23,TennesseeTENN,8-4,6
24,TempleTEM,10-3,6
25,USCUSC,8-5,6
1,ClemsonCLEM,13-0,7
